Uid,Time,Symbol,C/P,Trade,Side,Str,Spot,Exp,Size,Prems,Price,Bid,Ask,Vol,OI,Ivol,Label,Events,Details
14475695,2023-02-06 10:26:13,SPY,CALL,SWEEP,AT BID,410,409.07,2023-02-07,200,41.00K,2.05,2.05,2.07,23470,2946,25.7,,,
14475693,2023-02-06 10:26:12,AMZN,CALL,SWEEP,AT ASK,102,101.73,2023-02-10,300,61.20K,2.04,2.03,2.04,4487,2011,48.57,,,
14475692,2023-02-06 10:26:12,SPY,PUT,SWEEP,AT BID,410,409.05,2023-02-10,510,204.00K,4,4,4.01,9813,15470,20.62,,,
14475690,2023-02-06 10:26:12,MSTR,PUT,SPLIT,AT ASK,217.5,274.76,2023-02-17,100,32.00K,3.2,2.87,3.2,100,207,113.83,,,
14475683,2023-02-06 10:26:11,TSLA,CALL,,AT ASK,240,192.07,2023-04-21,55,54.17K,9.85,9.8,9.85,671,13072,69.52,,,
14475688,2023-02-06 10:26:10,NVDA,CALL,SWEEP,AT ASK,285,210.46,2023-03-17,280,25.48K,0.91,0.89,0.91,410,1126,55.25,,,
14475681,2023-02-06 10:26:10,TSLA,CALL,,AT BID,200,192.09,2023-02-10,175,84.88K,4.85,4.85,4.9,57234,28709,96.63,,,
14475682,2023-02-06 10:26:08,TSLA,CALL,SWEEP,TO BID,200,192.22,2023-02-10,184,89.28K,4.85,4.85,4.9,57235,28709,96.68,,,
14475680,2023-02-06 10:26:08,TSLA,CALL,SWEEP,ABV ASK,250,192.21,2025-06-20,65,347.28K,53.43,52.9,53.4,209,989,54.71,,,
14475679,2023-02-06 10:26:07,UBER,CALL,SWEEP,AT BID,35,33.27,2023-09-15,125,58.75K,4.7,4.7,4.75,261,3146,48.25,,,
14475677,2023-02-06 10:26:05,EFA,PUT,BLOCK,TO ASK,68,70.39,2023-05-19,5500,759.00K,1.38,1.27,1.4,5500,215,18.28,OPEN SPREAD,,
14475676,2023-02-06 10:26:05,EFA,CALL,BLOCK,TO ASK,72,70.39,2023-05-19,5500,1.11M,2.02,1.92,2.05,5500,80,15.81,OPEN SPREAD,,
14475672,2023-02-06 10:26:02,GLD,CALL,,,175,173.81,2023-02-17,1250,185.00K,1.48,1.46,1.49,1487,6494,15.59,SPREAD,,
14475675,2023-02-06 10:26:01,SPX,CALL,SPLIT,AT ASK,4150,4100.88,2023-02-07,150,106.50K,7.1,6.9,7.1,1765,3021,25.22,,,
14475674,2023-02-06 10:26:01,SPX,CALL,SPLIT,AT BID,4130,4100.7,2023-02-06,100,26.50K,2.65,2.65,2.7,9666,796,29.08,,,
14475673,2023-02-06 10:26:00,TSLA,CALL,SPLIT,TO ASK,200,191.91,2023-03-17,65,97.69K,15.03,14.95,15.05,3346,45140,71.93,,,
14475665,2023-02-06 10:26:00,IWM,PUT,,AT BID,185,194.03,2023-03-17,125,30.50K,2.44,2.44,2.45,2060,61661,24.9,,,
14475671,2023-02-06 10:25:59,BOIL,CALL,SPLIT,AT ASK,6,5.79,2023-03-03,300,30.00K,1,0.9,1,1025,337,178.67,,,
14475670,2023-02-06 10:25:59,NVDA,PUT,SPLIT,AT ASK,205,210.1,2023-02-24,500,450.00K,9,8.95,9,1128,1578,62.61,,,
14475669,2023-02-06 10:25:59,NVDA,CALL,SWEEP,AT BID,220,210.11,2023-02-17,140,62.30K,4.45,4.45,4.5,1549,6999,55.53,,,
14475668,2023-02-06 10:25:58,META,CALL,SWEEP,TO BID,190,187.7,2023-02-10,97,34.94K,3.6,3.6,3.65,27865,13016,56.89,,,
14475667,2023-02-06 10:25:58,RRC,CALL,SWEEP,AT ASK,27,23.43,2024-01-19,100,34.00K,3.4,3.3,3.4,101,661,48.46,,,
14475664,2023-02-06 10:25:58,GOOGL,CALL,SWEEP,AT BID,120,102.34,2023-07-21,144,43.92K,3.05,3.05,3.1,156,2569,28.88,,,
14475663,2023-02-06 10:25:58,MSFT,PUT,SPLIT,,250,255.57,2023-04-21,90,83.25K,9.25,9.2,9.3,183,5457,27.56,,,
14475662,2023-02-06 10:25:58,QQQ,CALL,SWEEP,BLW BID,304,303.05,2023-02-07,147,33.82K,2.3,2.31,2.32,4320,278,38.91,,,
14475655,2023-02-06 10:25:58,HOOD,CALL,,AT BID,11,10.47,2023-02-17,994,49.70K,0.5,0.5,0.51,1158,8030,96.49,,,
14475661,2023-02-06 10:25:57,AAPL,PUT,SWEEP,,150,151.5,2023-02-17,164,45.46K,2.77,2.77,2.79,9367,32367,32.87,,,
14475653,2023-02-06 10:25:57,EWG,PUT,,AT BID,31,28.02,2023-07-21,225,82.13K,3.65,3.65,3.95,225,385,18.45,,,
14475652,2023-02-06 10:25:54,TSLA,PUT,SWEEP,ABV ASK,190,192.05,2023-02-10,74,48.85K,6.6,6.55,6.6,37770,6553,92.83,,,
14475651,2023-02-06 10:25:54,NVDA,PUT,SPLIT,AT ASK,215,210.4,2023-02-10,100,81.00K,8.1,8.05,8.1,1188,1997,61.07,,,
14475648,2023-02-06 10:25:53,SPY,PUT,,,400,408.99,2023-04-21,175,159.25K,9.1,9.09,9.11,3142,33343,19.14,,,
14475647,2023-02-06 10:25:53,SPY,PUT,,,400,408.99,2023-04-21,175,159.25K,9.1,9.09,9.11,2967,33343,19.14,,,
14475646,2023-02-06 10:25:53,SPY,PUT,,AT ASK,405,408.99,2023-04-21,175,187.43K,10.71,10.69,10.71,2324,19306,18.42,,,
14475645,2023-02-06 10:25:53,SPY,PUT,,AT ASK,405,408.99,2023-04-21,175,187.43K,10.71,10.69,10.71,2149,19306,18.42,,,
14475644,2023-02-06 10:25:53,TSLA,CALL,,AT ASK,200,192.13,2023-02-10,200,98.00K,4.9,4.8,4.9,56905,28709,97.08,,,
14475643,2023-02-06 10:25:53,QQQ,PUT,,AT BID,302,303.2,2023-02-08,200,54.00K,2.7,2.7,2.71,940,904,34.64,,,
14475649,2023-02-06 10:25:51,TSLA,CALL,SWEEP,TO ASK,200,192.16,2023-02-10,217,106.25K,4.9,4.85,4.9,56906,28709,96.35,,,
14475641,2023-02-06 10:25:51,SPY,CALL,,AT BID,412,409.01,2023-02-10,478,116.15K,2.43,2.43,2.44,6722,4816,20.47,,,
14475640,2023-02-06 10:25:51,SPY,CALL,,AT BID,412,409.02,2023-02-10,173,42.04K,2.43,2.43,2.44,6244,4816,20.45,,,
14475642,2023-02-06 10:25:50,SPY,CALL,SWEEP,AT BID,412,409.02,2023-02-10,999,242.75K,2.43,2.43,2.44,6724,4816,20.45,,,
14475637,2023-02-06 10:25:50,META,CALL,,AT BID,190,187.91,2023-02-10,130,48.10K,3.7,3.7,3.75,27764,13016,56.73,,,
14475639,2023-02-06 10:25:49,CRWD,CALL,SWEEP,AT ASK,120,114.06,2023-02-10,322,40.25K,1.25,1.22,1.25,1102,4490,67.55,,,
14475636,2023-02-06 10:25:48,AMZN,CALL,SWEEP,AT BID,103,101.86,2023-02-10,350,58.10K,1.66,1.66,1.68,9544,3455,48.74,,,
